type,institute,city,status,category,response
NIT,NIT Delhi,Delhi,Responded,A,response_NITDL_R_E_25_00115
NIT,NIT Durgapur,Durgapur,Responded,A,"response_NITDP_R_E_25_00083, response_NITDP_R_E_25_00083-2"
NIT,NIT Meghalaya,Shillong,Responded,A,response_NITMG_R_E_25_00030
NIT,NIT Puducherry,Puducherry,Responded,A, response_NITPD_R_E_25_00050
NIT,NIT Kurukshetra,Kurukshetra,Responded,A,response_NITKS_R_E_25_00146 
NIT,NIT Srinagar,Srinagar,Responded,A,response_NITSN_R_E_25_00143
NIT,NIT Rourkela,Rourkela,Responded,A,response_NITRK_R_E_25_00108
NIT,NIT Calicut,Calicut,Responded,B,response_NITCL_R_E_25_00076
NIT,NIT Raipur,Raipur,Responded,B,response_NITRP_R_E_25_00117
NIT,NIT Sikkim,Ravangala,Responded,B,response_NITSK_R_E_25_00051
NIT,NIT Agartala,Agartala,Responded,B,response_NITAT_R_E_25_00082
NIT,NIT Goa,Cuncolim,Responded,B,response_NITGO_R_E_25_00056 
NIT,NIT Trichy,Trichy,Responded,B,"response_NITTI_R_E_25_00143_excerpts, response_NITTI_R_E_25_00143 "
NIT,NIT Arunachal Pradesh,Jote,Did not respond,C,status_NITAP_R_E_25_00027
NIT,NIT Hamirpur,Hamirpur,Did not respond,C,status_NITHP_R_E_25_00071
NIT,NIT Manipur,Imphal,Did not respond,C,status_NITMN_R_E_25_00048
NIT,NIT Nagaland,Dimapur,Did not respond,C,status_NITNG_R_E_25_00018
NIT,NIT Patna,Patna,Did not respond,C,status_NITPA_R_E_25_00105
NIT,NIT Mizoram,Aizawl,Responded,C,response_NITMZ_R_E_25_00036
NIT,NIT Andhra Pradesh,Taddepalligudem,Did not respond,C,status_NITAN_R_E_25_00043
NIT,NIT Jaipur,Jaipur,Responded,C,response_NITJP_R_E_25_00148
NIT,NIT Silchar,Silchar,Did not respond,C,status_NITSC_R_E_25_00085
NIT,NIT Karnataka,Surathkal,Responded,C,response_NITST_R_E_25_00123 
NIT,NIT Uttarakhand,Srinagar,Responded,C,response_NITUK_R_E_25_00053
NIT,NIT Warangal,Warangal,Responded,C,response_NITWR_R_E_25_00207
IIM,IIM Amritsar,Amritsar,Responded,A,IIMs/response_IIMAM_R_E_26_00027.pdf
IIM,IIM Kashipur,Kashipur,Responded,A,IIMs/response_IIMKP_R_E_26_00015.pdf
IIM,IIM Trichy,Trichy,Responded,A,IIMs/response_IIMTP_R_E_26_00030.pdf
IIM,IIM Udaipur,Udaipur,Responded,A,IIMs/response_IIMUD_R_E_26_00025.pdf
IIM,IIM Jammu,Jammu,Responded,A,IIMs/response_IIMJA_R_E_26_00030.pdf
IIM,IIM Vishakhapatnam,Vishakhapatnam,Responded,A,IIMs/response_IIMVP_R_E_26_00016.pdf
IIM,IIM Calcutta,Kolkatta,Responded,A,IIMs/response_IIMKO_R_E_26_00041.pdf
IIM,IIM Indore,Indore,Responded,B,IIMs/response_IIMIN_R_E_26_00055.pdf
IIM,IIM Kozhikode,Kozhikode,Responded,B,IIMs/response_IIMKK_R_E_26_00057.pdf
IIM,IIM Bangalore,Bengaluru,Responded,B,IIMs/response_IIMBL_R_E_26_00076.pdf
IIM,IIM Sambhalpur,Sambhalpur,Responded,B,IIMs/response_%20IIMSB_R_E_26_00016.pdf
IIM,IIM Ahmedabad,Ahmedabad,Responded,B,IIMs/response_IIMAD_R_E_26_00049.pdf
IIM,IIM Nagpur,Nagpur,Responded,B,IIMs/response_IIMNP_R_E_26_00015.pdf
IIM,IIM Raipur,Raipur,Responded,C,IIMs/response_IIMRP_R_E_26_00028.pdf
IIM,IIM Rohtak,Rohtak,Responded,C,IIMs/response_IIMRK_R_E_26_00014.pdf
IIM,IIM Sirmaur,Sirmaur,Responded,C,IIMs/response_IIMSR_R_E_26_00015.pdf
IIM,IIM Mumbai,Mumbai,Responded,C,IIMs/response_NIEMU_R_E_26_00053.pdf
IIM,IIM Lucknow,Lucknow,Responded,C,IIMs/response_IIMLK_R_E_26_00038.pdf
IIM,IIM Bodhgaya,Bodhgaya,Did not respond,C,IIMs/status_IIMBG_R_E_26_00046.pdf
IIM,IIM Ranchi,Ranchi,Did not respond,C,
IIM,IIM Shillong,Shillong,Did not respond,C,
